Name, Email, Time, Topic
Angel,aj249@nyu.edu,8:30,science
Brad,ilyfudh@gmail.com,4:45,math
Carrie,Cm23@gmail.com,9:25,science
Jimmy,jm66@nyu.edu,3.30,stuff
Angel,aj249@nyu.edu,8:30,science
Brad,ilyfudh@gmail.com,4:45,math
Carrie,Cm23@gmail.com,9:25,science
Jimmy,jm66@nyu.edu,3.30,stuff
Angel,aj249@nyu.edu,8:30,science
Brad,ilyfudh@gmail.com,4:45,math
Carrie,Cm23@gmail.com,9:25,science
Jimmy,jm66@nyu.edu,3.30,stuff
Angel,aj249@nyu.edu,8:30,science
Brad,ilyfudh@gmail.com,4:45,math
Carrie,Cm23@gmail.com,9:25,science
Jimmy,jm66@nyu.edu,3.30,stuff
